"Hotel_Name","Hotel_ReviewCount","Hotel_Rank"
"Hotel Drisco","1,409",1
"Loews Regency San Francisco","266",2
"Omni San Francisco Hotel","4,459",3
"The Inn at Union Square","1,496",4
"The Ritz-Carlton, San Francisco","560",5
"Taj Campton Place","928",6
"White Swan Inn","1,515",7
"The St. Regis San Francisco","1,166",8
"The Scarlet Huntington","1,224",9
"Orchard Garden Hotel","1,354",10
"The Orchard Hotel","2,575",11
"Four Seasons Hotel San Francisco","1,349",12
"Argonaut Hotel, A Noble House Hotel","5,103",13
"Marines Memorial Club Hotel","616",14
"Chancellor Hotel on Union Square","4,844",15
"Fairmont Heritage Place, Ghirardelli Square","630",16
"Fairmont San Francisco","2,487",17
"Petite Auberge","1,282",18
"Hotel Zetta San Francisco","713",19
"Cornell Hotel de France","1,435",20
"Galleria Park Hotel","1,812",21
"Hotel Vitale, a Joie de Vivre hotel","1,363",22
"The Metro Hotel","432",23
"Coventry Motor Inn","1,400",24
"Hotel Mayflower","1,067",25
"Beck's Motor Lodge","552",26
"The Alise - A Piece of Pineapple Hospitality","141",27
"Hotel Griffon","679",28
"InterContinental San Francisco","2,656",29
"Phoenix Hotel, a Joie de Vivre hotel","790",30
"Palace Hotel","689",31
"Club Quarters Hotel in San Francisco","1,589",32
"San Francisco Marriott Union Square","1,615",33
"Cow Hollow Inn and Suites","920",34
"Grand Hyatt San Francisco","3,971",35
"Pier 2620 Hotel Fisherman's Wharf","802",36
"Hotel Nikko San Francisco","3,439",37
"Hotel Zelos","519",38
"BEST WESTERN PLUS The Tuscan","3,875",39
"Hotel Abri","1,514",40
"Warwick San Francisco Hotel","451",41
"The Kimpton Buchanan","195",42
"The Donatello","2,445",43
"Columbus Motor Inn","1,152",44
"Stanford Court San Francisco","3,441",45
"Hotel Rex, a Joie de Vivre hotel","1,470",46
"Hotel Adagio, Autograph Collection","1,145",47
"Hotel Carlton, a Joie de Vivre hotel","2,483",48
"Hotel Zephyr","1,410",49
"Hotel Del Sol, a Joie de Vivre hotel","938",50
"Hotel G San Francisco","732",51
"The Marker San Francisco","2,124",52
"Courtyard San Francisco Fisherman's Wharf","956",53
"San Francisco Marriott Marquis","3,854",54
"Holiday Inn Express Hotel & Suites San Francisco Fisherman's Wharf","2,328",55
"Park Central Hotel San Francisco","3,169",56
"Le Meridien San Francisco","1,862",57
"Harbor Court Hotel","1,159",58
"Travelodge at the Presidio San Francisco","1,017",59
"Hyatt Regency San Francisco","3,580",60
"Hyatt Centric Fisherman's Wharf San Francisco","662",61
"Hotel Kabuki, a Joie de Vivre hotel","1,753",62
"InterContinental Mark Hopkins San Francisco","2,272",63
"San Francisco Marriott Fisherman's Wharf","1,236",64
"JW Marriott San Francisco Union Square","1,648",65
"Hilton San Francisco Financial District","3,146",66
"The Kensington Park Hotel","1,048",67
"Courtyard San Francisco Downtown","949",68
"W San Francisco","1,985",69
"Clift Hotel San Francisco","3,025",70
"Hotel Triton","1,512",71
"Hotel Zeppelin San Francisco","205",72
"Hotel Vertigo","1,208",73
"Handlery Union Square Hotel","3,592",74
"The Westin St. Francis San Francisco on Union Square","4,967",75
"Villa Florence","844",76
"Lombard Motor Inn","496",77
"Holiday Inn San Francisco Golden Gateway","1,658",78
"Sir Francis Drake Hotel - a Kimpton Hotel","2,892",79
"Axiom Hotel San Francisco","136",80
"Chelsea Motor Inn","644",81
"Queen Anne Hotel","596",82
"Mystic Hotel by Charlie Palmer","924",83
"The Herbert Hotel","1,121",84
"Beresford Arms","1,053",85
"Marina Motel","536",86
"King George Hotel","1,295",87
"Suites at Fisherman's Wharf","546",88
"Holiday Inn Express San Francisco Union Square","63",89
"da Vinci Villa","887",90
"Parc 55 San Francisco, a Hilton Hotel","1,699",91
"Holiday Inn San Francisco Fishermans Wharf","3,418",92
"Cova Hotel","985",93
"Hilton San Francisco Union Square","1,412",94
"The Mosser","2,166",95
"Hotel Union Square","1,419",96
"Serrano Hotel","1,883",97
"Hampton Inn San Francisco Downtown / Convention Center","337",98
"Laurel Inn, a Joie de Vivre hotel","402",99
"The Cartwright Hotel - Union Square, BW Premier Collection","470",100
"Hotel Stratford","1,202",101
"Executive Hotel Vintage Court","1,020",102
"Inn at the Opera","701",103
"Geary Parkway Motel","292",104
"Hotel Boheme","282",105
"Days Inn San Francisco Downtown/Civic Center Area","603",106
"Motel Capri","443",107
"Comfort Inn by the Bay","1,047",108
"Sheraton Fisherman's Wharf Hotel","3,661",109
"Ocean Park Motel","259",110
"Buena Vista Motor Inn","692",111
"The Opal San Francisco","1,030",112
"Red Coach Motor Lodge","189",113
"Bay Bridge Inn","263",114
