"Hotel_Name","Hotel_ReviewCount","Hotel_Rank"
"The Beekman, A Thompson Hotel","103",1
"414 Hotel","1,120",2
"Hotel Giraffe","3,181",3
"Casablanca Hotel Times Square","5,081",4
"Crosby Street Hotel","693",5
"Library Hotel","3,644",6
"The Towers at Lotte New York Palace","776",7
"The Broome","371",8
"Hotel Elysee","3,410",9
"The Bryant Park Hotel","3,221",10
"EVEN Hotel Times Square South","614",11
"The French Quarters Guest Apartments","984",12
"The Sherry-Netherland Hotel","629",13
"Baccarat Hotel & Residences New York","249",14
"The Roxy Hotel Tribeca","184",15
"The Pearl Hotel","2,174",16
"Park Hyatt New York","985",17
"NobleDEN Hotel","392",18
"The St. Regis New York","523",19
"Archer Hotel New York","2,276",20
"Chelsea Pines Inn","2,004",21
"The Pierre, A Taj Hotel, New York","1,356",22
"Langham Place, New York, Fifth Avenue","1,906",23
"Q&A Residential Hotel","275",24
"Edge Hotel","169",25
"citizenM New York Times Square","2,124",26
"The Mark","646",27
"Refinery Hotel","3,280",28
"Loews Regency New York Hotel","1,191",29
"Conrad New York","2,776",30
"The Ritz-Carlton New York, Central Park","1,143",31
"1 Hotel Central Park","813",32
"The Peninsula New York","951",33
"The New York EDITION","547",34
"The Chatwal, A Luxury Collection Hotel, New York","1,045",35
"The Iroquois New York","3,182",36
"The Towers of the Waldorf Astoria","1,799",37
"The Lex NYC","556",38
"The Michelangelo Hotel","2,879",39
"The NoMad Hotel","716",40
"Kimpton Hotel Eventi","3,101",41
"11 Howard","204",42
"Residence Inn New York Manhattan/Midtown East","1,397",43
"The Kimpton Muse Hotel","2,941",44
"The Surrey","1,704",45
"Trump International Hotel and Tower New York","1,070",46
"Hyatt Centric Times Square","2,716",47
"San Carlos Hotel","1,247",48
"Gild Hall - A Thompson Hotel","1,370",49
"the Quin","2,091",50
"Sanctuary Hotel New York","3,727",51
"Residence Inn New York Downtown Manhattan/World Trade Center Area","473",52
"Chambers Hotel","569",53
"Hotel Beacon","3,253",54
"Distrikt Hotel","4,555",55
"Fitzpatrick Manhattan Hotel","1,023",56
"Cambria hotel & suites New York - Chelsea","533",57
"Andaz 5th Avenue","2,166",58
"SIXTY SoHo","570",59
"Sofitel New York","5,905",60
"Mandarin Oriental, New York","1,297",61
"Renaissance New York Midtown Hotel","285",62
"Cambria Hotel & Suites - New York Times Square","416",63
"Park South Hotel","1,750",64
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY","1,849",65
"Innside New York Nomad","900",66
"West 57th Street by Hilton Club","1,160",67
"Andaz Wall Street","2,656",68
"Gramercy Park Hotel","1,320",69
"World Center Hotel","787",70
"The Ritz-Carlton New York, Battery Park","1,711",71
"The Benjamin","2,401",72
"Smyth - a Thompson Hotel","338",73
"The Tuscany - A St Giles Signature Hotel","1,518",74
"Hampton Inn Manhattan Grand Central","1,451",75
"Hilton Garden Inn New York/West 35th Street","4,627",76
"Cassa Hotel Times Square","835",77
"Hampton Inn Manhattan / Times Square Central","1,000",78
"Gardens NYC–an Affinia hotel","1,653",79
"The Nolitan Hotel","894",80
"Room Mate Grace","536",81
"Hotel Metro","3,761",82
"The Renwick Hotel","495",83
"Club Quarters Hotel, World Trade Center","1,299",84
"Kimpton Ink48","2,843",85
"Fitzpatrick Grand Central Hotel","1,871",86
"InterContinental New York Barclay","326",87
"Gansevoort Park Avenue NYC","2,067",88
"Warwick New York","3,868",89
"Four Seasons Hotel New York","1,081",90
"Hyatt Union Square New York","1,407",91
"Lotte New York Palace","2,714",92
"The Kimberly Hotel","1,466",93
"Dream Downtown","3,247",94
"Hotel Indigo Lower East Side New York","378",95
"Dumont NYC–an Affinia hotel","4,514",96
"The Bowery Hotel","574",97
"Executive Hotel LeSoleil","454",98
"The Ludlow New York City","547",99
"Hilton Times Square","5,868",100
"Residence Inn New York Manhattan/Central Park","1,000",101
"Cassa Hotel 45th Street New York","1,846",102
"Courtyard New York Manhattan/Herald Square","630",103
"Walker Hotel Greenwich Village","773",104
"The Knickerbocker","1,130",105
"Marriott Vacation Club Pulse, New York City","2,193",106
"The Jewel facing Rockefeller Center","1,549",107
"BEST WESTERN PREMIER Herald Square","1,431",108
"The Lucerne Hotel","2,216",109
"The Marlton Hotel","497",110
"Moderne Hotel","1,575",111
"The Hilton Club - New York","540",112
"WestHouse Hotel New York","947",113
"The High Line Hotel","493",114
"Omni Berkshire Place","3,252",115
"Trump SoHo New York","2,779",116
"Hilton Garden Inn New York/Midtown Park Ave","769",117
"The Plaza","1,979",118
"Hotel 48LEX New York","1,096",119
"Fairfield Inn & Suites New York Midtown Manhattan/Penn Station","1,103",120
"Courtyard New York Manhattan/Chelsea","695",121
"The Standard, East Village","596",122
"Fifty NYC–an Affinia hotel","1,045",123
"Greenwich Hotel","484",124
"Avalon Hotel","1,358",125
"Kitano New York","1,036",126
"Hotel on Rivington","1,129",127
"YOTEL New York at Times Square West","9,312",128
"Shelburne NYC–an Affinia hotel","4,322",129
"Duane Street Hotel","548",130
"Novotel New York Times Square","4,260",131
"The Premier Hotel","609",132
"SIXTY LES","1,090",133
"Hotel Chandler","2,966",134
"Courtyard New York Manhattan/Midtown East","2,099",135
"Staybridge Suites Times Square - New York City","5,122",136
"Hilton Garden Inn Times Square","6,356",137
"Wyndham Garden Chinatown","1,464",138
"AKA Times Square","528",139
"The Leon Hotel","328",140
"Courtyard New York Manhattan/Times Square West","920",141
"Hyatt Herald Square New York","676",142
"W New York - Union Square","1,346",143
"The London NYC","3,173",144
"Hyatt Place New York Midtown South","1,485",145
"The Standard, High Line","2,492",146
"Roger Smith Hotel","1,786",147
"Fairfield Inn New York Manhattan/Financial District","276",148
"Club Quarters Hotel, Grand Central","464",149
"Hampton Inn Manhattan-Times Square North","4,817",150
"The James New York","1,281",151
"SpringHill Suites New York Midtown Manhattan/Fifth Avenue","831",152
"The Maritime Hotel","588",153
"Hilton New York Fashion District","3,046",154
"Hotel Boutique At Grand Central","348",155
"Fairfield Inn & Suites New York Manhattan/Chelsea","726",156
"Hilton Garden Inn New York - Times Square Central","1,125",157
"Ameritania Hotel","4,125",158
"Morgans New York Hotel","1,891",159
"BEST WESTERN PLUS Hospitality House","1,050",160
"Hampton Inn Manhattan-Chelsea","1,656",161
"Hilton Garden Inn New York/Manhattan-Midtown East","988",162
"Soho Grand Hotel","2,762",163
"Washington Square Hotel","1,261",164
"DoubleTree Suites by Hilton Hotel New York City - Times Square","7,157",165
"Holiday Inn Express Manhattan Times Square South","981",166
"The Algonquin Hotel Times Square, Autograph Collection","1,790",167
"Renaissance New York Times Square Hotel","2,173",168
"Hampton Inn Manhattan / Downtown - Financial District","421",169
"The Blakely New York","1,269",170
"Hampton Inn Manhattan-35th St/Empire State Bldg","1,769",171
"Hampton Inn Manhattan - Madison Square Garden Area","1,685",172
"Hotel 32 32","382",173
"Four Points by Sheraton Midtown - Times Square","1,951",174
"Residence Inn New York Manhattan/Times Square","2,140",175
"Courtyard New York Manhattan/SoHo","511",176
"NYLO New York City","3,627",177
"Hilton Garden Inn New York/Tribeca","1,237",178
"The Roger","1,659",179
"Candlewood Suites New York City Times Square","1,748",180
"Broadway at Times Square Hotel","1,903",181
"Broadway Plaza Hotel","1,253",182
"Hotel Mulberry","534",183
"TRYP New York City Times Square South","3,170",184
"InterContinental New York Times Square","4,410",185
"Viceroy Central Park New York","1,021",186
"Pod 39 Hotel","2,890",187
"Holiday Inn New York City - Times Square","357",188
"Seton Hotel","704",189
"The Marcel at Gramercy","2,573",190
"Carvi Hotel New York","526",191
"City Club Hotel","742",192
"The Manhattan Club","1,223",193
"Holiday Inn NYC - Lower East Side","628",194
"New York Marriott Downtown","1,652",195
"Hilton Garden Inn New York/Central Park South-Midtown West","1,955",196
"Crowne Plaza Times Square Manhattan","8,365",197
"Aloft Harlem","625",198
"AKA Central Park","390",199
"The Westin New York at Times Square","1,325",200
"IBEROSTAR 70 Park Avenue Hotel","2,016",201
"Fairfield Inn & Suites New York Manhattan/Downtown East","282",202
"The Time New York","1,865",203
"The Milburn Hotel","1,067",204
"BEST WESTERN PLUS Seaport Inn Downtown","946",205
"New York Marriott Marquis","8,842",206
"Dream Midtown","713",207
"Ace Hotel New York","1,564",208
"NOMO SOHO Hotel","542",209
"Holiday Inn Express New York - Manhattan West Side","903",210
